Physiological Pathway,Functional Ortholog,Symbol,EC,Module,KO,Reaction,# MAGs,Unassembled reads,,,,,
,Ethylbenzene dioxygenase subunit gamma,etbAc,,,K14760,,4,,,,,,
,cis-Dihydroethylcatechol dehydrogenase,NA,1.3.1.66,,NA,R05313,0,NA,,,,,
,"2,3-Dihydroxyethylbenzene 1,2-dioxygenase",etbC,1.13.11.-,,K14751,R05416,2,NA,,,,,
,"2-Hydroxy-6-oxo-octa-2,4-dienoate hydrolase",etbD,3.7.1.-,,K18092,R05366,4,NA,,,,,
BTEX: xylene ? methylbenzoate,Toluene methyl-monooxygenase,xylM,1.14.15.26,M00537,K15757,"R05288, R05442, R05543",7,ND,,,,,
,Toluene methyl-monooxygenase electron transfer component,xylA,1.18.1.3,,K15758,,5,NA,,,,,
,Aryl-alcohol dehydrogenase,NA,1.1.1.90,,K00055,"R05282, R05348, R05347",4,NA,,,,,
,Benzaldehyde dehydrogenase (NAD),xylC,1.2.1.28,,K00141,"R05289, R05663, R05664",2,Y,,,,,
"PAHs: (1-methyl)
naphthalene/
anthracene ? catechol ","Naphthalene 1,2-dioxygenase subunit alpha","nahAc, ndoC, nbzAc, dntAc","1.14.12.12, 1.14.12.23, 1.14.12.24","M00534,
map01220",K14579,R02968,2,ND,,,,,
,"Naphthalene 1,2-dioxygenase subunit beta","nahAd, ndoC, nbzAd, dntAd",,,K14580,,4,,,,,,
,"Naphthalene 1,2-dioxygenase ferredoxin component","nahAb, nagAb, ndoA, nbzAb, dntAb",NA,,K14578,,3,NA,,,,,
,"Naphthalene 1,2-dioxygenase ferredoxin reductase component","nahAa, nagAa, ndoR, nbzAa, dntAa",1.18.1.7,,K14581,,2,NA,,,,,
,"Cis-1,2-dihydro-1,2-dihydroxynaphthalene dehydrogenase",nahB,1.3.1.29,,K14582,R04115,0,NA,,,,,
,"1,2-Dihydroxynaphthalene dioxygenase",nahC,1.13.11.56,,K14583,R04117,2,NA,,,,,
, 2-Hydroxychromene-2-carboxylate isomerase,nahD,5.99.1.4,,K14584,R05137,3,NA,,,,,
,Trans-o-hydroxybenzylidenepyruvate hydratase-aldolase,nahE,4.1.2.45,,K14585,R05136,2,NA,,,,,
,Salicylaldehyde dehydrogenase,nahF,1.2.1.65,,K00152,R02941,0,NA,,,,,
,Salicylate hydroxylase,NA,1.14.13.1,,K00480,R00818,10,NA,,,,,
PAHs: phenanthrene ? phthlate,PAH dioxygenase large subunit,nidA,1.13.11.-,"map01220,
map00624",K11943,R05843,2,Y,,,,,
,PAH dioxygenase small subunit,nidB,,,K11944,,1,NA,,,,,
,"Cis-3,4-dihydrophenanthrene-3,4-diol dehydrogenase",phdE,1.3.1.49,,K18257,R04151,0,NA,,,,,
,Extradiol dioxygenase,phdF,1.13.11.-,,K11945,R05650,0,NA,,,,,
,NA,NA,NA,,NA,R05642,0,NA,,,,,
,Hydratase-aldolase,phdG,4.1.2.-,,K11946,R05648,0,NA,,,,,
,Aldehyde dehydrogenase,nidD,1.2.1.-,,K11947,R05649,0,NA,,,,,
,Salicylate hydroxylase,NA,1.14.13.1,,K00480,R00818,10,NA,,,,,
,1-Hydroxy-2-naphthoate dioxygenase,phdI,1.13.11.38,,K11948,R07657,0,NA,,,,,
,4-(2-Carboxyphenyl)-2-oxobut-3-enoate aldolase,phdJ,4.1.2.34,,K11949,R07713,1,NA,,,,,
,2-Formylbenzoate dehydrogenase,phdK,1.2.1.78,,K18275,R05643,0,NA,,,,,
PAHs: fluorene ? phthlate,"Naphthalene 1,2-dioxygenase subunit alpha","nahAc, ndoC, nbzAc, dntAc","1.14.12.12, 1.14.12.23, 1.14.12.24",map00624,K14579,R05422,2,ND,,,,,
,"Naphthalene 1,2-dioxygenase subunit beta","nahAd, ndoC, nbzAd, dntAd",,,K14580,,4,,,,,,
,"Naphthalene 1,2-dioxygenase ferredoxin component","nahAb, nagAb, ndoA, nbzAb, dntAb",NA,,K14578,,3,NA,,,,,
,"Naphthalene 1,2-dioxygenase ferredoxin reductase component","nahAa, nagAa, ndoR, nbzAa, dntAa",1.18.1.7,,K14581,,2,NA,,,,,
,Dibenzofuran dioxygenase subunit alpha,dbfA1,1.14.12.-,,K14599,R05422,0,NA,,,,,
,Dibenzofuran dioxygenase subunit beta,dbfA2,,,K14600,,0,NA,,,,,
,Fluoren-9-ol dehydrogenase,NA,1.1.1.256,,NA,R05349,0,NA,,,,,
,"1,1a-Dihydroxy-1-hydro-9-fluorenone dehydrogenase",flnB,NA,,K14601,R05349,0,NA,,,,,
,"2'-Carboxy-2,3-dihydroxybiphenyl 1,2-dioxygenase large subunit",flnD1,NA,,K14602,R07801,0,NA,,,,,
,"2'-carboxy-2,3-dihydroxybiphenyl 1,2-dioxygenase small subunit and ferredoxin fusion protein",flnD2,NA,,K14603,,0,NA,,,,,
,"2-Hydroxy-6-oxo-6-(2'-carboxyphenyl)-hexa-2,4-dienoate hydrolase",flnE,3.7.1.-,,K14604,R07802,0,NA,,,,,
Aromatic acids: (methyl)benzoate ? (methyl)catechol,"Benzoate/toluate 1,2-dioxygenase subunit alpha","benA, xylX",1.14.12.10,M00551,K05549,"R05621, R05290, R05428, R05665",6,NA,,,,,
,"Benzoate/toluate 1,2-dioxygenase subunit beta","benB, xylY",,,K05550,,5,NA,,,,,
,"Benzoate/toluate 1,2-dioxygenase reductase component","benC, xylZ",1.18.1.-,,K05784,,24,Y,,,,,
,Dihydroxycyclohexadiene carboxylate dehydrogenase,"benD, xylL",1.3.1.25,,K05783,"R00813, R05292, R05314, R05309",0,NA,,,,,
Aromatic acids: phenylacetate ? acetyl-CoA/succinyl-CoA,Phenylacetate-CoA ligase,paaK,6.2.1.30,M00878,K01912,R02539,43,Y,,,,,
,"Ring-1,2-phenylacetyl-CoA epoxidase subunit PaaA",paaA,1.14.13.149,,K02609,R09838,9,NA,,,,,
,"Ring-1,2-phenylacetyl-CoA epoxidase subunit PaaB",paaB,,,K02610,,9,NA,,,,,
,"Ring-1,2-phenylacetyl-CoA epoxidase subunit PaaC",paaC,,,K02611,,9,NA,,,,,
,"Ring-1,2-phenylacetyl-CoA epoxidase subunit PaaD",paaD,,,K02612,,43,NA,,,,,
,"Ring-1,2-phenylacetyl-CoA epoxidase subunit PaaE",paaE,,,K02613,,17,NA,,,,,
,"2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase",paaG,5.3.3.18,,K15866,R09837,28,NA,,,,,
,Oxepin-CoA hydrolase,paaZ,3.3.2.12,,K02618,R09836,7,NA,,,,,
,"3-Oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase",paaZ,1.2.1.91,,,R09820,,NA,,,,,
,"3-Oxo-5,6-didehydrosuberyl-CoA",paaJ,2.3.1.223,,K02615,R09839,27,NA,,,,,
,Enoyl-CoA hydratase,"paaF, echA",4.2.1.17,,K01692,R06942,33,NA,,,,,
,3-Hydroxybutyryl-CoA dehydrogenase,"paaH, hbd, fadB, mmgB",1.1.1.157,,K00074,R06941,40,NA,,,,,
Aromatic acids: phthalate ? benzoate precursor,"Phthalate 4,5-dioxygenase",pht3,1.14.12.7,"M00623,
map00624",K18068,R03630,2,Y,,,,,
,"Phthalate 4,5-dioxygenase reductase component",pht2,1.18.1.-,,K18069,,2,NA,,,,,
,"Phthalate 4,5-cis-dihydrodiol dehydrogenase",pht4,1.3.1.64,,K18067,R05275,2,NA,,,,,
,"4,5-Dihydroxyphthalate decarboxylase",pht5,4.1.1.55,,K04102,R01635,4,NA,,,,,
,"Phthalate 3,4-dioxygenase subunit alpha",phtAa,1.14.12.-,,K18251,R09227,2,NA,,,,,
,"Phthalate 3,4-dioxygenase subunit beta",phtAb,,,K18252,,0,NA,,,,,
,"Phthalate 3,4-dioxygenase ferredoxin component",phtAc,NA,,K18253,,0,NA,,,,,
,"Phthalate 3,4-cis-dihydrodiol dehydrogenase",phtB,1.3.1.-,,K18255,R09228,0,NA,,,,,
,"3,4-Dihydroxyphthalate decarboxylase",phtC,4.1.1.69,,K18256,R01634,0,NA,,,,,
,"Protocatechuate 4,5-dioxygenase, alpha chain",ligA,1.13.11.8,,K04100,R01632,43,NA,,,,,
,"Protocatechuate 4,5-dioxygenase, beta chain",ligB,,,K04101,,10,NA,,,,,
,"protocatechuate 3,4-dioxygenase, alpha subunit",pcaG,1.13.11.3,,K00448,R01631,3,NA,,,,,
,"protocatechuate 3,4-dioxygenase, beta subunit",pcaH,,,K00449,,3,NA,,,,,
Dearomatisation: catechol ortho-cleavage,"Catechol 1,2-dioxygenase ",catA,1.13.11.1,M00568,K03381,R00817,7,Y,,,,,
,Muconate cycloisomerase,catB,5.5.1.1,,K01856,R06989,6,NA,,,,,
,Muconolactone D-isomerase,catC,5.3.3.4,,K03464,R06990,1,NA,,,,,
,3-oxoadipate enol-lactonase,pcaD,3.1.1.24,,K01055,R02991,19,NA,,,,,
,3-oxoadipate enol-lactonase,pcaL,,,K14727,,5,NA,,,,,
Dearomatisation: catechol meta-cleavage,"Catechol 2,3-dioxygenase","dmpB, xylE",1.13.11.2,M00569,K00446,"R00816, R05295",17,Y*,,,,,
,"Catechol 2,3-dioxygenase",catE ,,,K07104,,6,,,,,,
,Aminomuconate-semialdehyde dehydrogenase,dmpC,1.2.1.32,,K10217,"R02762, R05353",18,NA,,,,,
,4-Oxalocrotonate tautomerase,"praC, xylH",5.3.2.6,,K01821,"R03966, R05389",29,NA,,,,,
,2-Oxo-3-hexenedioate decarboxylase ,"dmpH, xylI, nahK",4.1.1.77,,K01617,"R02602, R05374",23,NA,,,,,
,2-Hydroxymuconate-semialdehyde hydrolase,"dmpD, xylF",3.7.1.9,,K10216,"R02604, R05865",13,NA,,,,,
,2-Oxopent-4-enoate/cis-2-oxohex-4-enoate hydratase,"bphH, xylJ, 
tesE","4.2.1.80, 4.2.1.132",,K18364,"R02601, R05864",12,NA,,,,,
,4-Hydroxy-2-oxovalerate/4-hydroxy-2-oxohexanoate aldolase,"bphI, xylK, nahM, tesG","4.1.3.39, 4.1.3.43",,K18365,"R00750, R05298",13,NA,,,,,
,Acetaldehyde/propanal dehydrogenase,"bphJ, xylQ, nahO, tesF","1.2.1.10, 1.2.1.87",,K18366,"R00228, R09097",14,NA,,,,,
,2-Keto-4-pentenoate hydratase,mhpD,4.2.1.80,,K02554,R02601,20,NA,,,,,
,4-Hydroxy 2-oxovalerate aldolase,mhpE,4.1.3.89,,K01666,R00750,17,NA,,,,,
,Acetaldehyde dehydrogenase,mhpF,1.2.1.10,,K04073,R00228,9,NA,,,,,
Methylotrophy,,,,,,,,,,,,,
Anaerobic methanol degradation,Methanol dehydrogenase (cytochrome C) subunit 1,"mdh1, mxaF",1.1.2.7,M00174,K14028,R01146,3,Y,,,,,
,Methanol dehydrogenase (cytochrome C) subunit 2,"mdh2, msaI",,,K14029,,2,Y,,,,,
,Methanol dehydrogenase,mdh,1.1.1.244,NA,K00093,R00605,0,NA,,,,,
Anaerobic MMA degradation,Quinohemoprotein amine dehydrogenase,qhpA,1.4.9.1,map00680,K08685,R00606,3,Y,,,,,
,Methylamine dehydrogenase light chain,mauA,,,K15228,,3,NA,,,,,
,Methylamine dehydrogenase heavy chain,mauB,,,K15229,,3,NA,,,,,
,Methylamine-glutamate N-methyltransferase subunit A,mgsA,2.1.1.21,map00680,K22081,R01586,11,NA,,,,,
,Methylamine-glutamate N-methyltransferase subunit B,mgsB,,,K22082,,11,NA,,,,,
,Methylamine-glutamate N-methyltransferase subunit C,mgsC,,,K22083,,16,NA,,,,,
,Methylglutamate dehydrogenase subunit A,mgdA,1.5.99.5,,K22084,R00609,0,NA,,,,,
,Methylglutamate dehydrogenase subunit B,mgdB,,,K22085,,4,NA,,,,,
,Methylglutamate dehydrogenase subunit C,mgdC,,,K22086,,3,NA,,,,,
,Methylglutamate dehydrogenase subunit D,mgdD,,,K22087,,7,NA,,,,,
Anaerobic TMA/DMA degradation,Dimethylamine/trimethylamine dehydrogenase ,dmd-tmd,"1.5.8.1, 1.5.8.2",map00680,K00317,"R01588, R02511",9,Y,,,,,
Aerobic TMA/DMA degradation,Trimethylamine monooxygenase,tmm,1.14.13.148,NA,K18277,R05623,6,NA,,,,,
,(GenBank) Trimethylamine-N-oxide demethylase,tmd,"2.1.2.10, 4.1.2.32",,K00605,R02512,53,NA,,,,,
,Dimethylamine monooxygenase subunit A,dmmA,1.14.13.238,,K22342,R11805,17,NA,,,,,
,Dimethylamine monooxygenase subunit B,dmmB,,,K22343,,7,NA,,,,,
,Dimethylamine monooxygenase subunit C,dmmC,,,K22344,,7,NA,,,,,
Anaerobic heterotrophy,,,,,,,,,,,,,
Fumarate addition: alkanes ? succinate,Alkylsuccinate synthase (formate C-acetlytransferase) ,assA (pflD),2.3.1.54,NA,K00656,NA,12,Y,,,,,
,Pyruvate formate lyase activating enzyme,"pflA, pflC, pflE",1.97.1.4,,K04069,NA,35,NA,,,,,
Fumarate addition: toluene ? benzoyl-CoA,Benzylsuccinate synthase ,bssA,4.1.99.11,M00418,K07540,R05598,ND,ND,,,,,
,Benzylsuccinate CoA-transferase BbsE subunit,bbsE,2.8.3.15,,K07543,R05588,ND,Y,,,,,
,Benzylsuccinate CoA-transferase BbsF subunit,bbsF,,,K07544,,ND,Y,,,,,
,(R)-Benzylsuccinyl-CoA dehydrogenase,bbsG,1.3.8.3,,K07545,R05584,ND,Y,,,,,
,(E)-Benzylidenesuccinyl-CoA hydratase,bbsH,4.2.1.180,,K07546,R05599,1,Y,,,,,
,"(2S)-[(R)Hhydroxy(phenyl)methyl]-succinyl-CoA dehydrogenase 
BbsC subunit",bbsC,1.1.1.429,,K07547,R05575,ND,ND,,,,,
,"(2S)-[(R)-Hydroxy(phenyl)methyl]-succinyl-CoA dehydrogenase 
BbsD subunit",bbsD,,,K07548,,ND,Y,,,,,
,Benzoylsuccinyl-CoA thiolase BbsA subunit,bbsA,2.3.1.310,,K07549,R05587,3,Y,,,,,
,Benzoylsuccinyl-CoA thiolase BbsB subunit,bbsB,,,k07550,,1,Y,,,,,
Fumarate addition: 2-methylnaphthalene ? 2-naphthoyl-CoA,Naphthyl-2-methylsuccinate synthase alpha subunit ,nmsA,4.1.99.-,map00626,K01670,R06903,0,ND,,,,,
,Naphthyl-2-methylsuccinate synthase beta subunit ,nmsB,,,K15567,,0,,,,,,
,Naphthyl-2-methylsuccinate synthase gamma subunit ,nmsC,,,K15568,,0,,,,,,
,Naphthyl-2-methylsuccinate CoA transferase subunit,bnsE,2.8.3.-,,K15569,R06904,0,NA,,,,,
,Naphthyl-2-methylsuccinate CoA transferase subunit,bnsF,,,K15570,,0,NA,,,,,
,Naphthyl-2-methylsuccinyl-CoA dehydrogenase,bnsG,1.3.99.-,,K15571,R06905,0,NA,,,,,
,Naphthyl-2-hydroxymethylsuccinyl-CoA hydratase,bnsH,4.2.1.-,,K15572,R06906,0,NA,,,,,
,"Naphthyl-2-hydroxymethylsuccinyl-CoA dehydrogenase 
BnsC subunit ",bnsC,1.1.-.-,,K15573,R06907,0,NA,,,,,
,"Naphthyl-2-hydroxymethylsuccinyl-CoA dehydrogenase 
BnsD subunit ",bnsD,,,K19958,,0,NA,,,,,
,Naphthyl-2-oxomethyl-succinyl-CoA thiolase subunit,bnsA,2.3.1.-,,K15574,R06908,0,NA,,,,,
,Naphthyl-2-oxomethyl-succinyl-CoA thiolase subunit,bnsB,,,K15575,,0,NA,,,,,
Hydroxylation: ethylbenzene ? benzoyl-CoA/acetyl-CoA,Ethylbenzene hydroxylase subunit alpha,ebdA,1.17.99.2,map00642,K10700,R05745,2,ND,,,,,
,Ethylbenzene hydroxylase subunit beta,ebdB,NA,,K17048,,2,NA,,,,,
,Ethylbenzene hydroxylase subunit gamma,ebdC,NA,,K17049,,2,NA,,,,,
,(S)-1-phenylethanol dehydrogenase,ped,1.1.1.311,,K14746,R05352,0,NA,,,,,
,Acetophenone carboxylase,apc,6.4.1.8,,K10701,R05453,7,NA,,,,,
,Benzoylacetate-CoA ligase,bal,6.2.1.-,,K14747,R05452,4,NA,,,,,
,Acetyl-CoA acyltransferase,"fadA, fadI",2.3.1.16,,K00632,R05506,42,NA,,,,,
Carboxylation: phenol ? benzoyl-CoA,Phenol phosphorylase subunit alpha,ppsA,2.7.1.238,map00627,K25936,R05625,0,ND,,,,,
,Phenol phosphorylase subunit beta,ppsB,,,K25937,,0,NA,,,,,
,Phenol phosphorylase subunit delta gamma,ppsC,,,K25938,,0,NA,,,,,
,Phenyl-phosphate phosphatase/carboxylase subunit alpha,ppcA,4.1.1.123,,K25932,R05603,0,NA,,,,,
,Phenyl-phosphate phosphatase/carboxylase subunit beta,ppcB,,,K25933,,0,NA,,,,,
,Phenyl-phosphate phosphatase/carboxylase subunit gamma,ppcC,,,K25934,,0,NA,,,,,
,Phenyl-phosphate phosphatase/carboxylase subunit delta,ppcD,,,K25935,,0,NA,,,,,
,Vanillate/4-hydroxybenzoate decarboxylase subunit C,bsdC,4.1.1.61,,K01612,R01238,3,Y,,,,,
,4-Hydroxybenzoate decarboxylase subunit C,bsdC,,,K16239,,21,,,,,,
,Vanillate/4-hydroxybenzoate decarboxylase subunit D,bsdD,,,K21759,,4,,,,,,
,4-Hydroxybenzoate-CoA ligase,hbaA,6.2.1.27,,K04105,R01300,6,NA,,,,,
,4-hydroxybenzoyl-CoA reductase subunit gamma,"hcrC, hbaB",1.1.7.1,,K04107,R05216,1,NA,,,,,
,4-hydroxybenzoyl-CoA reductase subunit alpha,"hcrC, hbaC",,,K04108,,2,NA,,,,,
,4-hydroxybenzoyl-CoA reductase subunit beta,"hcrB, hbaD",,,K04109,,1,NA,,,,,
CoA activation: Propanoate ? propanoyl-CoA,Acetate kinase,ackA,2.7.2.1,map00640,K00925,R00315,49,NA,,,,,
,Propionate kinase,tdcD,2.7.2.15,,K00932,R01353,0,NA,,,,,
,,pduW,,,K19697,,1,NA,,,,,
,Phosphate acetyltransferase,pta,2.3.1.8,,K13788,R00921,53,NA,,,,,
,,,,,K00625,,47,NA,,,,,
,Putative phosphotransacetylase,K15024,,,K15024,,5,NA,,,,,
,Phosphate propanoyltransferase,pduL,2.3.1.222,,K13923,R00921,0,NA,,,,,
,Propionate CoA-transferase,pct,2.8.3.1,,K01026,R00928,3,NA,,,,,
,Acetate---CoA ligase (ADP-forming) subunit alpha,acdA,6.2.1.13,,K01905,R00920,25,NA,,,,,
,Acetate---CoA ligase (ADP-forming) subunit beta,acdB,,,K22224,,25,NA,,,,,
,Acetate---CoA ligase (ADP-forming),acdAB,,,K24012,,0,NA,,,,,
,Acetyl-CoA synthetase,"ACSS1_2, acs",6.2.1.1,,K01895,R01354,30,NA,,,,,
,Propionyl-CoA synthetase,"ACSS3, prpE",6.2.1.17,,K01908,,55,NA,,,,,
CoA activation: Acetoacetate ? acetyl-CoA,Acetate CoA/acetoacetate CoA-transferase alpha subunit ,atoA,"2.8.3.8, 2.8.3.9",map00650,K01034,R01179,10,Y,,,,,
,Acetate CoA/acetoacetate CoA-transferase beta subunit ,atoD,,,K01035,,8,Y,,,,,
,Acetate CoA-transferase,ydiF,2.8.3.8,,K19709,R01179,0,NA,,,,,
,3-Oxoacid CoA-transferase,OXCT,2.8.3.5,,K01027,R00410,28,NA,,,,,
,3-Oxoacid CoA-transferase subunit A,scoA,2.8.3.5,,K01028,R00410,24,NA,,,,,
,3-Oxoacid CoA-transferase subunit B,scoB,,,K01029,,26,NA,,,,,
,Acetoacetyl-CoA synthetase,"AACS, acsA",6.2.1.16,,K01907,R01357,0,NA,,,,,
,Acetyl-CoA acetyltransferase,"ACAT, atoB",2.3.1.9,,K00626,R00238,63,NA,,,,,
CoA activation: Butyrate ? butanoyl-CoA,Acetate CoA/acetoacetate CoA-transferase alpha subunit ,atoA,"2.8.3.8, 2.8.3.9",map00650,K01034,R01179,10,Y,,,,,
,Acetate CoA/acetoacetate CoA-transferase beta subunit ,atoD,,,K01035,,8,Y,,,,,
,Acetate CoA-transferase,ydiF,2.8.3.8,,K19709,R01179,0,NA,,,,,
,Medium-chain acyl-CoA ligase / lipoate-activating enzyme,"ACSM1, LAE",6.2.1.2,,K23756,R01176,0,NA,,,,,
,Medium-chain acyl-CoA synthetase,ACSM,,,K01896,R01176,1,NA,,,,,
,Acetate/butyrate---CoA ligase,"AAE7, ACN1","6.2.1.1, 6.2.1.2",,K01913,R01176,0,NA,,,,,
,Butyrate kinase,buk,2.7.2.7,,K00929,R01688,0,NA,,,,,
,Phosphate butyryltransferase,ptb,2.3.1.19,,K00624,R01174,0,NA,,,,,
CoA activation: LCFAs ? palmitoyl-CoA,Long-chain acyl-CoA synthetase,"ACSL, fadD",6.2.1.3,M00086,K01897,R01280,57,NA,,,,,
,Long-chain-fatty-acid--CoA ligase,ACSBG,,,K15013,R01280,0,NA,,,,,
CoA activation: benzoate ? benzoyl-CoA,Benzoate-CoA ligase,badA,6.2.1.25,"map00362,
map00627",K04110,R01422,7,Y,,,,,
(C) Cellular processes and environmental responses,,,,,,,,,,,,,
Quorum sensing ,,,,,,,,,,,,,
"Acyl homoserine lactone 
(AHL) autoinducers",Acyl homoserine lactone synthase,lasI,2.3.1.184,map02024,K13060,R08940,11,NA,,,,,
,"LuxR family transcriptional regulator, quorum-sensing system 
regulator LasR",lasR,NA,,K18304,NA,5,NA,,,,,
,Acyl homoserine lactone synthase,"ainS, luxM",2.3.1.184,,K13062,R08940,0,NA,,,,,
,"Two-component system, autoinducer 1 sensor kinase/phosphatase 
LuxN",luxN,"2.7.13.3, 
3.1.3.-",,K15850,NA,2,NA,,,,,
,"Two-component system, phosphorelay protein LuxU",luxU,NA,,K10911,NA,1,NA,,,,,
,"Two-component system, repressor protein LuxO",luxO,NA,,K10912,NA,4,NA,,,,,
,Acyl homoserine lactone synthase,luxI,2.3.1.184,,K22954,R08940,0,NA,,,,,
,"LuxR family transcriptional regulator, transcriptional activator of 
the bioluminescence operon",luxR,NA,,K15852,NA,13,NA,,,,,
,Acyl-homoserine lactone synthase,"bjaI, rpaI, 
braI, rhiI","2.3.1.228,
2.3.1.229, 
2.3.1.-",,K18096,NA,1,NA,,,,,
,"LuxR family transcriptional regulator, quorum-sensing system 
regulator BjaR1","bjaR1, rpaR, rhiR",NA,,K18098,NA,4,NA,,,,,
,"LuxR family transcriptional regulator, quorum-sensing system 
regulator RhlR","rhlR, phzR",NA,,K18099,NA,0,NA,,,,,
,Acyl homoserine lactone synthase,"expI, esaI",2.3.1.184,,K22956,NA,0,NA,,,,,
,"LuxR family transcriptional regulator, quorum-sensing system 
regulator ExpR",expR,NA,,K19734,NA,2,NA,,,,,
,"LysR family transcriptional regulator, quorum-sensing system 
regulator MvfR","mvfR, pqsR",NA,,K19735,NA,0,NA,,,,,
,Acyl homoserine lactone synthase ,"rhlI, phzI, solI, 
cepI, tofI",2.3.1.184,,K13061,R08940,3,NA,,,,,
,"LuxR family transcriptional regulator, quorum-sensing system 
regulator SolR","solR, cepR, 
tofR",NA,,K19666,NA,1,NA,,,,,
,Acyl homoserine lactone synthase ,cciI,2.3.1.184,,K20250,R08940,1,NA,,,,,
,"LuxR family transcriptional regulator, quorum-sensing system 
regulator CciR",cciR,NA,,K19731,NA,12,NA,,,,,
,Acyl homoserine lactone synthase,cviI,2.3.1.184,,K22957,R08940,0,NA,,,,,
,"LuxR family transcriptional regulator, quorum-sensing system 
regulator CviR",cviR,NA,,K20334,NA,1,NA,,,,,
,Acyl homoserine lactone synthase,"sinI, avsI",2.3.1.184,,K22968,R08940,0,NA,,,,,
,"LuxR family transcriptional regulator, quorum-sensing system 
regulator SinR","sinR, avsR",NA,,K19733,NA,10,NA,,,,,
Non-AHL autoinducers,S-ribosylhomocysteine lyase ,luxS,4.4.1.21,map02024,K07173,R01291,7,Y,,,,,
,"Two-component system, autoinducer 2 sensor 
kinase/phosphatase LuxQ",luxQ,"2.7.13.3, 
3.1.3.-",,K10909,NA,3,Y,,,,,
,Autoinducer 2-binding periplasmic protein LuxP,luxP,NA,,K10910,NA,5,Y,,,,,
,CAI-1 autoinducer synthase,cqsA,2.3.-.-,,K10915,NA,0,NA,,,,,
,"Two-component system, CAI-1 autoinducer sensor 
kinase/phosphatase CqsS",cqsS,"2.7.13.3,
3.1.3.-",,K10916,NA,5,NA,,,,,
,Autoinducer 2-binding periplasmic protein LuxP,luxU,NA,,K10911,NA,1,NA,,,,,
,"Two-component system, repressor protein LuxO",luxO,NA,,K10912,NA,4,NA,,,,,
,Anthranilate synthase component I ,trpE,4.1.3.27,,K01657,R00985,53,Y,,,,,
,Anthranilate synthase component II,trpG,,,K01658,,54,Y,,,,,
,Anthranilate-CoA ligase,pqsA,6.2.1.32,,K18000,R00982,0,NA,,,,,
,Anthraniloyl-CoA anthraniloyltransferase,pqsD,2.3.1.262,,K18003,"R11586,
R11587,
R11588",4,NA,,,,,
,"LysR family transcriptional regulator, quorum-sensing system 
regulator MvfR","mvfR, pqsR",NA,,K19735,NA,0,NA,,,,,
,AI-2 transport system substrate-binding protein,lsrB,NA,,K10555,NA,1,NA,,,,,
,AI-2 transport system permease protein,lsrC,NA,,K10556,NA,0,NA,,,,,
,AI-2 transport system permease protein,lsrD,NA,,K10557,NA,1,NA,,,,,
,AI-2 transport system ATP-binding protein,"lsrA, ego",NA,,K10558,NA,0,NA,,,,,
,Autoinducer-2 kinase,lsrK,2.7.1.189,,K11216,R11183,5,NA,,,,,
,DSF synthase,rpfF,NA,,K13816,NA,3,NA,,,,,
,c-di-GMP phosphodiesterase Gmr,"gmr, pdeR",3.1.4.52,,K14051,NA,0,NA,,,,,
,Long-chain acyl-CoA synthetase,"ACSL, fadD, 
rpfB",6.2.1.3,,K01897,NA,57,Y,,,,,
,"Two-component system, sensor histidine kinase",rpfC,2.7.13.3,,K10715,NA,15,Y,,,,,
,"Two-component system, response regulator",rpfG,NA,,K13815,NA,8,Y,,,,,
,"Two-component system, OmpR family, sensor histidine kinase CiaH ",ciaH,2.7.13.3,,K14982,NA,0,NA,,,,,
,"Two-component system, OmpR family, response regulator CiaR",ciaR,NA,,K14983,NA,0,NA,,,,,
,Competence-stimulating peptide,comC,NA,,K12415,NA,0,NA,,,,,
,,,NA,,K23133,NA,0,NA,,,,,
,"ATP-binding cassette, subfamily C, bacterial, 
competence factor transporting protein",comA,3.4.22.-,,K12992,NA,3,NA,,,,,
,Competence factor transport accessory protein ComB,comB,NA,,K12993,NA,1,NA,,,,,
,"Two-component system, LytTR family, sensor histidine kinase ComD ",comD,2.7.13.3,,K12994,NA,10,NA,,,,,
,"Two-component system, LytTR family, response regulator ComE",comE,NA,,K12995,NA,8,NA,,,,,
,AgrD protein,agrD,NA,,K07800,NA,0,NA,,,,,
,Accessory gene regulator B,agrB,NA,,K07813,NA,0,NA,,,,,
,Peptide pheromone BlpC,blpC,NA,,K20343,NA,0,NA,,,,,
,"ATP-binding cassette, subfamily C, bacteriocin exporter","blpA, lagD",NA,,K20344,NA,3,NA,,,,,
,"Membrane fusion protein, peptide pheromone/bacteriocin exporter",blpB,NA,,K20345,NA,5,NA,,,,,
,"Two-component system, LytTR family, sensor histidine kinase AgrC ","agrC, blpH, 
fsrC",2.7.13.3,,K07706,NA,2,NA,,,,,
,"Two-component system, LytTR family, response regulator AgrA","agrA, blpR, 
fsrA",NA,,K07707,NA,0,NA,,,,,
,Competence protein ComS,comS,NA,,K02252,NA,0,NA,,,,,
,Peptide inhibitor iCF10,prgQ,NA,,K20376,NA,0,NA,,,,,
,Oligopeptide transport system substrate-binding protein,"oppA, mppA",NA,,K15580,NA,23,NA,,,,,
,Oligopeptide transport system permease protein,oppB,NA,,K15581,NA,8,NA,,,,,
,Oligopeptide transport system permease protein,oppC,NA,,K15582,NA,21,NA,,,,,
