Physiological Pathway,Functional Ortholog,Symbol,EC,Module,KO,Reaction,# MAGs,Unassembled reads,,,,,
Methyl-coenzyme M reductase pathway,Methyl-coenzyme M reductase alpha subunit,mcrA,2.8.4.1,"M00356,
M00357,
M00563,
M00567",K00399,R04541,2,Y,,,,,
,Methyl-coenzyme M reductase beta subunit,mcrB,,,K00401,,2,Y,,,,,
,Methyl-coenzyme M reductase gamma subunit,mcrC,,,K00402,,2,Y,,,,,
,Heterodisulfide reductase subunit A1,hdrA1,1.8.7.3,,K22480,R11931,0,NA,,,,,
,Heterodisulfide reductase subunit B1,hdrB1,,,K22481,,0,NA,,,,,
,Heterodisulfide reductase subunit C1,hdrC1,,,K22482,,1,NA,,,,,
,Heterodisulfide reductase subunit A2,hdrA2,1.8.98.4,,K03388,R11928,17,NA,,,,,
,Heterodisulfide reductase subunit B2,hdrB2,,,K03389,,7,NA,,,,,
,Heterodisulfide reductase subunit C2,hdrC2,,,K03390,,7,NA,,,,,
,Heterodisulfide reductase subunit D,hdrD,1.8.98.1,,K08264,R04540,4,NA,,,,,
,Heterodisulfide reductase subunit E,hdrE,,,K08265,,2,NA,,,,,
,F420-non-reducing hydrogenase iron-sulfur subunit,"mvhD, vhuD, vhcD","1.12.99.-, 1.8.98.5, 1.8.98.6",,K14127,"R00019, R11943, R11944",4,NA,,,,,
,F420-non-reducing hydrogenase large subunit,"mvhA, vhuA, vhcA","1.12.99.-, 1.8.98.5",,K14126,"R00019, R11943",1,NA,,,,,
,F420-non-reducing hydrogenase small subunit,"mvhG, vhuG, vhcG",,,K14128,,5,NA,,,,,
,Formate dehydrogenase (coenzyme F420) alpha subunit,fdhA,"1.17.98.3, 1.8.98.6",,K22516,"R10797, R11944",0,NA,,,,,
,Formate dehydrogenase (coenzyme F420) beta subunit,fdhB,,,K00125,,4,NA,,,,,
CO2 reduction ,Formylmethanofuran dehydrogenase subunit A,fmdA,1.2.7.12,M00567,K00200,R03015,5,Y,,,,,
,Formylmethanofuran dehydrogenase subunit B,fmdB,,,K00201,,6,Y,,,,,
,Formylmethanofuran dehydrogenase subunit C,fmdC,,,K00202,,6,Y,,,,,
,Formylmethanofuran dehydrogenase subunit D,fmdD,,,K00203,,3,Y,,,,,
,4Fe-4S ferredoxin,fwdH,NA,,K00204,,0,NA,,,,,
,4Fe-4S ferredoxin,fwdF,NA,,K00205,,6,NA,,,,,
,4Fe-4S ferredoxin,fwdG,NA,,K11260,,2,NA,,,,,
,Formylmethanofuran tetrahydromethanopterin N-formyltransferase,ftr,2.3.1.101,,K00672,R03390,6,NA,,,,,
,"5,10-methenyltetrahydromethanopterin 10-hydrolase (decyclizing)",mch,3.5.4.27,,K01499,R03464,7,NA,,,,,
,Methylenetetrahydromethanopterin dehydrogenase,mtd,1.5.98.1,,K00319,R04456,2,NA,,,,,
,"5,10-methenyltetrahydromethanopterin hydrogenase",hmd,1.12.98.2,,K13942,R04455,0,NA,,,,,
,"5,10-methylenetetrahydromethanopterin coenzyme-F420 
oxidoreductase",mer,1.5.98.2,,K00320,R04464,3,NA,,,,,
,Tetrahydromethanopterin S-methyltransferase subunit A,mtrA,7.2.1.4,,K00577,R04347,2,NA,,,,,
,Tetrahydromethanopterin S-methyltransferase subunit B,mtrB,,,K00578,,1,NA,,,,,
,Tetrahydromethanopterin S-methyltransferase subunit C,mtrC,,,K00579,,1,NA,,,,,
,Tetrahydromethanopterin S-methyltransferase subunit D,mtrD,,,K00580,,2,NA,,,,,
,Tetrahydromethanopterin S-methyltransferase subunit E,mtrE,,,K00581,,2,NA,,,,,
,Tetrahydromethanopterin S-methyltransferase subunit H,mtrH,,,K00584,,3,NA,,,,,
Acetotrophy,Acetate kinase,ackA,2.7.2.1,M00357,K00925,R00315,49,NA,,,,,
,Phosphate acetyltransferase,pta,2.3.1.8,,K00625,R00230,47,NA,,,,,
,Acetyl-CoA synthetase,acs,6.2.1.1,,K01895,R00235,55,Y,,,,,
,"Acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta",cdhC,2.3.1.169,,K00193,R09096,4,NA,,,,,
,"Acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta",cdhD,2.1.1.245,,K00194,,4,NA,,,,,
,"Acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma",cdhE,2.1.1.245,,K00197,,28,NA,,,,,
,Tetrahydromethanopterin S-methyltransferase subunit A,mtrA,7.2.1.4,,K00577,R04347,2,NA,,,,,
,Tetrahydromethanopterin S-methyltransferase subunit B,mtrB,,,K00578,,1,NA,,,,,
,Tetrahydromethanopterin S-methyltransferase subunit C,mtrC,,,K00579,,1,NA,,,,,
,Tetrahydromethanopterin S-methyltransferase subunit D,mtrD,,,K00580,,2,NA,,,,,
,Tetrahydromethanopterin S-methyltransferase subunit E,mtrE,,,K00581,,2,NA,,,,,
,Tetrahydromethanopterin S-methyltransferase subunit H,mtrH,,,K00584,,3,NA,,,,,
Methanol methylotrophy,"Methyl-Co(III) methanol/glycine betaine-specific corrinoid protein:
coenzyme M methyltransferase",mtaA ,2.1.1.246,M00356,K14080,R09098                      ,3,Y,,,,,
,Methanol 5-hydroxybenzimidazolylcobamide co-methyltransferase,mtaB,2.1.1.90,,K04480,,3,Y,,,,,
,Methanol corrinoid protein,mtaC,NA,,K14081,,3,Y,,,,,
MMA methylotrophy,Methyl-Co(III) methylamine-specific corrinoid protein: coenzyme M methyltransferase,mtbA ,2.1.1.248,M00563,K14082,R09998,2,Y,,,,,
,Monomethylamine corrinoid protein,mtmC,NA,,K16177,,2,NA,,,,,
Methylotrophy – DMA,Methyl-Co(III) methylamine-specific corrinoid protein: coenzyme M methyltransferase,mtbA ,2.1.1.248,M00563,K14082,R09999,2,Y,,,,,
,Dimethylamine corrinoid protein,mtbC,NA,,K16179,,2,NA,,,,,
Methylotrophy – TMA,Methyl-Co(III) methylamine-specific corrinoid protein: coenzyme M methyltransferase,mtbA ,2.1.1.248,M00563,K14082,R09124,2,Y,,,,,
,Trimethylamine corrinoid protein,mttC,NA,,K14084,,2,NA,,,,,
Fermentation,,,,,,,,,,,,,
Formaldehyde fermentation from methanol,Methanol dehydrogenase (cytochrome c) subunit 1,"mdh1, mxaF",1.1.2.7,map00680,K14028,R01146,3,Y,,,,,
,Methanol dehydrogenase (cytochrome c) subunit 2,"mdh2, mxaI",,,K14029,,2,Y,,,,,
,Lanthanide-dependent methanol dehydrogenase,xoxF,1.1.2.10,,K23995,R01146,0,NA,,,,,
,Alcohol oxidase,MOX,1.1.3.13,,K17066,R00608,0,NA,,,,,
,Methanol dehydrogenase,mdh,1.1.1.244,,K00093,R00605,0,NA,,,,,
Formaldehyde fermentation from MMA,Methylamine — glutamate N-methyltransferase subunit A,mgsA,2.1.1.21,map00680,K22081,R01586,11,NA,,,,,
,Methylamine — glutamate N-methyltransferase subunit B,mgsB,,,K22082,,11,NA,,,,,
,Methylamine — glutamate N-methyltransferase subunit C,mgsC,,,K22083,,16,NA,,,,,
,Methylglutamate dehydrogenase subunit A ,mgdA,1.5.99.5,,K22084,R00609,0,NA,,,,,
,Methylglutamate dehydrogenase subunit B,mgdB,,,K22085,,4,NA,,,,,
,Methylglutamate dehydrogenase subunit C,mgdC,,,K22086,,3,NA,,,,,
,Methylglutamate dehydrogenase subunit D ,mgdD,,,K22087,,7,NA,,,,,
,Quinohemoprotein amine dehydrogenase,qhpA,1.4.9.1,,K08685,R00606,3,Y,,,,,
,Methylamine dehydrogenase light chain,mauA,,,K15228,,3,NA,,,,,
,Methylamine dehydrogenase heavy chain,mauB,,,K15229,,3,NA,,,,,
Formate fermentation from formaldehyde ,Glutathione-independent formaldehyde dehydrogenase,fdhA,1.2.1.46,map00680,K00148,R00604,1,NA,,,,,
,S-(hydroxymethyl)glutathione synthase,gfa,4.4.1.22,map00680,K03396,R06982,3,NA,,,,,
,S-(hydroxymethyl)glutathione dehydrogenase,frmA,1.1.1.284,,K00121,R06983,36,Y,,,,,
,S-formylglutathione hydrolase,frmB,3.1.2.12,,K01070,R00527,34,Y,,,,,
,Formaldehyde dismutase,mdo,1.2.98.1,map00680,K17067,R00614,0,NA,,,,,
Ethanol fermentation from acetaldehyde (?),Alcohol dehydrogenase,adh,1.1.1.1,"map00010,
map00620",K00001,R00754,52,Y,,,,,
,Alcohol dehydrogenase 1/7,ADH1_7,,,K13951,,0,NA,,,,,
,"Alcohol dehydrogenase, propanol-preferring",adhP,,,K13953,,36,Y,,,,,
,Alcohol dehydrogenase,yiaY,,,K13954,,31,Y,,,,,
,S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase,"adhC, adh5",,,K00121,,36,Y,,,,,
,Acetaldehyde dehydrogenase / alcohol dehydrogenase,adhE,,,K04072,,9,Y,,,,,
,Alcohol dehydrogenase,eutG,NA,,K04022,,1,NA,,,,,
,Alcohol dehydrogenase (NADP+),AKR1A1,1.1.1.2,"map00010,
map00620",K00002,R00746,12,Y*,,,,,
,Alcohol/geraniol dehydrogenase (NADP+),ahr,,,K12957,,3,NA,,,,,
,Alcohol dehydrogenase (NADP+),yahK,,,K13979,,19,Y*,,,,,
,Methanol dehydrogenase (cytochrome c) subunit 1,"mdh1, mxaF",1.1.2.7,"map00010,
map00620",K14028,R09127,3,NA,,,,,
,Methanol dehydrogenase (cytochrome c) subunit 2,"mdh2, mxaI",,,K14029,,2,NA,,,,,
,Alcohol dehydrogenase (cytochrome c),exaA,1.1.2.8,"map00010,
map00620",K00114,R05198,16,Y,,,,,
Acetaldehyde fermentation from acetyl-CoA (?),Acetaldehyde dehydrogenase (acetylating),NA,1.2.1.10,map00620,K00132,R00228,0,NA,,,,,
,Acetaldehyde dehydrogenase,adhE,1.2.1.10,,K04072,R00228,9,Y,,,,,
,Acetaldehyde dehydrogenase,mhpF,1.2.1.10,,K04073,R00228,9,Y,,,,,
Acetogenesis from acetaldehyde (?),Aldehyde dehydrogenase (NAD+),ALDH,1.2.1.3,"map00010,
map00620",K00128,R00710,51,Y,,,,,
,Aldehyde dehydrogenase family 7 member A1,ALDH7A1,"1.2.1.31, 1.2.1.8, 1.2.1.3",,K14085,R00710,0,NA,,,,,
,Aldehyde dehydrogenase family 9 member A1,ALDH9A1,"1.2.1.47, 1.2.1.3",,K00149,R00710,0,NA,,,,,
,Aldehyde dehydrogenase,aldB,1.2.1.-,,K00138,R00711,24,NA,,,,,
,Aldehyde dehydrogenase (NAD(P)+),ALDH3,1.2.1.5,,K00129,R00711,4,NA,,,,,
Acetogenesis from acetyl-CoA (?),Phosphate acetyltransferase,pta,2.3.1.8,M00579,K00625,R00230,47,Y,,,,,
,Phosphate acetyltransferase,pta,,,K13788,,53,Y,,,,,
,Putative phosphotransacetylase,NA,,,K15024,,5,ND,,,,,
,Acetate kinase ,ackA,2.7.2.1,,K00925,R00315,49,Y,,,,,
,Acylphosphate,acyP,3.6.1.7,map00620,K01512,R00317,37,NA,,,,,
,Acetyl-CoA hydrolase,ACH1,3.1.2.1,map00620,K01067,R00227,31,NA,,,,,
,Acetate-CoA ligase (ADP-forming) subunit alpha,acdA,6.2.1.13,"map00010,
map00620",K01905,R00229,25,NA,,,,,
,Acetate-CoA ligase (ADP-forming) subunit beta,acdB,,,K22224,,25,NA,,,,,
,Acetate-CoA ligase (ADP-forming),acdAB,,,K24012,R00229,0,NA,,,,,
,Propionate CoA-transferase,pct,2.8.3.1,map00620,K01026,R00928,3,NA,,,,,
,Succinyl-CoA acetate CoA-transferase ,"aarC, cat1",2.8.3.18,map00620,K18118,R10343,23,NA,,,,,
,Acetyl-CoA synthetase,acs,6.2.1.1,map00620,K01895,R00235,55,NA,,,,,
,Acetate/butyrate-CoA ligase,ACN1,6.2.1.1,,K01913,R00235,0,NA,,,,,
Acetogenesis from pyruvate (?),Pyruvate dehydrogenase (quinone),poxB,1.2.5.1,map00620,K00156,R03145,4,Y,,,,,
,Pyruvate oxidase,"spxB, poxL",1.2.3.3,,K00158,R00207,5,Y,,,,,
,Acetate kinase,ackA,2.7.2.1,,K00925,R00315,49,NA,,,,,
,Acylphosphate,acyP,3.6.1.7,,K01512,R00317,37,NA,,,,,
Formate oxidation to CO2 and H2,Formate dehydrogenase,FDH,1.17.1.9,map00680,K00122,R00519,13,NA,,,,,
,Formate dehydrogenase major subunit,"fdoG, fdhF, fdwA",1.17.1.9,,K00123,R00519,40,Y,,,,,
,Formate dehydrogenase iron-sulfur subunit,"fdoH, fdsB",NA,,K00124,,28,Y,,,,,
,Formate dehydrogenase subunit delta,fdsD,1.17.1.9,,K00126,,13,Y,,,,,
,Formate dehydrogenase subunit gamma,"fdoI, fdsG",NA,,K00127,,24,Y,,,,,
,Formate dehydrogenase beta subunit ,fdwB,1.17.1.9,,K22515,,0,ND,,,,,
,Formate dehydrogenase (coenzyme F420) alpha subunit,fdhA,1.17.98.3,,K22516,R10797,0,NA,,,,,
,Formate dehydrogenase (coenzyme F420) beta subunit,fdhB,,,K00125,,4,NA,,,,,
H2 production,Ferredoxin hydrogenase large subunit,NA,1.12.7.2,NA,K00533,R00019,12,NA,,,,,
,Ferredoxin hydrogenase small subunit,NA,,,K00534,,15,NA,,,,,
,F420-non-reducing hydrogenase large subunit,mvhA,1.12.99.-,,K14126,,1,Y,,,,,
,F420-non-reducing hydrogenase iron-sulfur subunit,mvhD,,,K14127,,4,Y,,,,,
,F420-non-reducing hydrogenase small subunit,mvhG,,,K14128,,5,Y,,,,,
,[NiFe] hydrogenase large subunit,hydB,1.12.2.1,,K00437,R04015,5,ND,,,,,
,[NiFe] hydrogenase small subunit,hydA,,,K18008,,9,ND,,,,,
(B) Carbon metabolism,,,,,,,,,,,,,
CO2 fixation,,,,,,,,,,,,,
Reductive acetyl-CoA (Wood-Ljungdahl) pathway,Anaerobic carbon-monoxide dehydrogenase catalytic subunit,cooS,1.2.7.4,M00377,K00198,R07157,8,NA,,,,,
,Formate dehydrogenase (NADP+) alpha subunit,fdhA,1.17.1.10,,K05299,R00134,30,NA,,,,,
,Formate dehydrogenase (hydrogenase),fdhF,1.17.98.4,,K22015,R12754,0,NA,,,,,
,Iron hydrogenase HydA2,hydA2,1.12.7.-,,K25123,,0,NA,,,,,
,FeS-containing electron transfer protein,hycB,NA,,K25124,,0,NA,,,,,
,Formate-tetrahydrofolate ligase,fhs,6.3.4.3,,K01938,R00943,25,NA,,,,,
,Methylenetetrahydrofolate dehydrogenase (NADP+),folD,1.5.1.5,,K01491,R01220,57,NA,,,,,
,Methylenetetrahydrofolate reductase (NADH),metF,1.5.1.54,,K00297,R07168,56,NA,,,,,
,5-methyltetrahydrofolate corrinoid/iron sulfur protein methyltransferase,acsE,2.1.1.258,,K15023,R02289,26,NA,,,,,
,Acetyl-CoA synthase ,acsB,2.3.1.169,,K14138,R10243,2,NA,,,,,
,"Acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma",cdhE,2.1.1.245,,K00197,,28,NA,,,,,
,"Acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta",cdhD,2.1.1.245,,K00194,,4,NA,,,,,
Phosphate acetyltransferase-acetate kinase (pta-ackA) pathway,"Anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex 
subunit alpha",cdhA,1.2.7.4,M00422,K00192,R07157,2,NA,,,,,
,"Anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex 
subunit epsilon",cdhB,NA,,K00195,,2,NA,,,,,
,"Acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta",cdhC,2.3.1.169,,K00193,"R09096, R10219",2,NA,,,,,
,"Acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta",cdhD,2.1.1.245,,K00194,,4,NA,,,,,
,"Acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit 
gamma",cdhE,2.1.1.245,,K00197,,28,NA,,,,,
Reductive citrate (Arnon-Buchanan) cycle,Pyruvate ferredoxin oxidoreductase alpha subunit,porA,1.2.7.1,M00173,K00169,R01196,10,NA,,,,,
,Pyruvate ferredoxin oxidoreductase beta subunit,porB,,,K00170,,10,NA,,,,,
,Pyruvate ferredoxin oxidoreductase delta subunit,porC,,,K00171,,7,NA,,,,,
,Pyruvate ferredoxin oxidoreductase gamma subunit,"porC, porG",,,K00172,,11,NA,,,,,
,Pyruvate-ferredoxin/flavodoxin oxidoreductase,"por, nifJ",1.2.7.1,,K03737,R10866,24,NA,,,,,
,"Pyruvate, water dikinase","pps, ppsA",2.7.9.2,,K01007,R00199,43,NA,,,,,
,"Pyruvate, orthophosphate dikinase",ppdK,2.7.9.1,,K01006,R00206,39,NA,,,,,
